,ndcg,recall,precision,nrecs
Bias,0.06970642655474037,0.0678062678062678,,10.0
BiasedMF,0.0448470198960261,0.040170940170940174,,10.0
II,0.014539922570436957,0.01965811965811966,,10.0
NMF,0.10294309175620345,0.11149776149776149,,10.0
Pop,0.23701771731873464,0.27228327228327226,,20.0
Random,0.01650423628305522,0.027024827024827027,,10.0
SVD,0.059118689335523736,0.06096866096866097,,10.0
UU,0.0,0.0,,10.0
Bias,0.05776599224558333,0.06827956989247311,,10.0
BiasedMF,0.03728551957162689,0.03620071684587814,,10.0
II,0.02048381105389767,0.019815668202764977,,10.0
NMF,0.13170483673340433,0.13631165727939923,,10.0
Pop,0.20330863007508182,0.22373271889400922,,20.0
Random,0.0137579175344808,0.015322580645161291,,10.0
SVD,0.05690377335654076,0.06720430107526881,,10.0
UU,0.001034311216144833,0.0010869565217391304,,10.0
Bias,0.05772655243588384,0.062301587301587295,,10.0
BiasedMF,0.05786216483468843,0.05955001497454328,,10.0
II,0.015761474532098894,0.023100104821802935,,10.0
NMF,0.1816517587565795,0.19650344414495358,,10.0
Pop,0.194516096771741,0.23228885893980233,,20.0
Random,0.01236657840508116,0.01684261755016472,,10.0
SVD,0.04889641727719023,0.05305293501048218,,10.0
UU,0.0035113208350203225,0.0042452830188679245,,10.0
Bias,0.054131516727786745,0.0603956228956229,,10.0
BiasedMF,0.04541372446292955,0.04575968013468013,,10.0
II,0.011576567548931126,0.015966209716209715,,10.0
NMF,0.14966624327228556,0.16259169071669072,,10.0
Pop,0.17254526277881185,0.2096590909090909,,20.0
Random,0.014406219195510566,0.020496632996633,,10.0
SVD,0.04254018667729358,0.04403409090909091,,10.0
UU,0.001056405478345857,0.001563160118293198,,10.0
Bias,0.05080911136360506,0.059324782544596784,,10.0
BiasedMF,0.05322679597491592,0.04929357707995479,,10.0
II,0.01961312739386245,0.022617819057447544,,10.0
NMF,0.16964154512027638,0.1793233082706767,,10.0
Pop,0.17672677822357222,0.20796107916850953,,20.0
Random,0.014077141299486966,0.018386652906776747,,10.0
SVD,0.045517847242490854,0.05374342719543958,,10.0
UU,0.0012362095549692416,0.0015527950310559005,,10.0
Bias,0.06461629892482722,0.07160326086956523,,10.0
BiasedMF,0.060750477057235006,0.05929412525879917,,10.0
II,0.018139928022423,0.020859213250517598,,10.0
NMF,0.19240398279562534,0.19984903381642513,,10.0
Pop,0.21063871002203924,0.23867969289164942,,20.0
Random,0.008803962775254444,0.0125,,10.0
SVD,0.0586037797680508,0.06582556935817806,,10.0
UU,0.0032132609047600433,0.004347826086956522,,10.0
Bias,0.05106992871189487,0.0610279057859703,,10.0
BiasedMF,0.04900581101959653,0.04820057055080097,,10.0
II,0.016571698847463727,0.020167690732206863,,10.0
NMF,0.1973444615358443,0.20570642235388778,,10.0
Pop,0.21250017068652025,0.2443584960866067,,20.0
Random,0.010951742224826796,0.015920561773096337,,10.0
SVD,0.04575886770069732,0.05398379782020335,,10.0
UU,0.0036893738875612837,0.004224270353302612,,10.0
Bias,0.05254099104667862,0.06175090799031477,,10.0
BiasedMF,0.0595448274620863,0.058823479956954534,,10.0
II,0.02074029712392343,0.023813727468388488,,10.0
NMF,0.1838652621520762,0.19759130347054074,,10.0
Pop,0.21656845525544036,0.2514208366962604,,20.0
Random,0.013223759407529042,0.01690123083131558,,10.0
SVD,0.04571263769477853,0.05457105864944848,,10.0
UU,0.002497796363421807,0.004186844229217111,,10.0
