,ndcg,recall,precision,nrecs
Bias,0.053589200394622824,0.05616598534231945,,10.0
BiasedMF,0.037664438755316325,0.03653029657338573,,10.0
II,0.016961922645854215,0.019762483493010508,,10.0
NMF,0.10890384087075737,0.12047695334901169,,10.0
Pop,0.18196264609497154,0.20068421800274636,,20.0
Random,0.006691427705707583,0.008869843374318018,,10.0
SVD,0.043069504749950104,0.043304870285314434,,10.0
UU,0.013335584967664255,0.016043591565979627,,10.0
Bias,0.06045274129717917,0.06251597028344295,,10.0
BiasedMF,0.038208009910425916,0.040295719701151964,,10.0
II,0.020806542367218843,0.02414982886165397,,10.0
NMF,0.11445691382509557,0.12787333659311137,,10.0
Pop,0.18708892061240126,0.2055216433487384,,20.0
Random,0.006070600123397649,0.009227800648800981,,10.0
SVD,0.04451894569685978,0.04628911076410248,,10.0
UU,0.011759833205521344,0.01698959681067037,,10.0
Bias,0.06381520327617766,0.06645892462945444,,10.0
BiasedMF,0.042284244385763,0.04286818038473668,,10.0
II,0.018782250496073835,0.02257200672763587,,10.0
NMF,0.12032187293009308,0.1330011563124146,,10.0
Pop,0.1983583057810153,0.21564937454010305,,20.0
Random,0.007279834996991432,0.010235730053610849,,10.0
SVD,0.04832522619403187,0.048826868495742665,,10.0
UU,0.01429967432603647,0.0183924691299567,,10.0
Bias,0.0626185981778925,0.06525714811310837,,10.0
BiasedMF,0.03916557265321927,0.04114290970251235,,10.0
II,0.020282730825553194,0.023156075896142124,,10.0
NMF,0.12235914870990931,0.13672421948912014,,10.0
Pop,0.1943139338462127,0.2142165983391149,,20.0
Random,0.007573796628082341,0.009667822979081258,,10.0
SVD,0.047956093432204486,0.04961999369284138,,10.0
UU,0.014766365821655306,0.018718486621765854,,10.0
