,ndcg,recall,precision,nrecs
Bias,0.07424399636807712,0.08771929824561403,,10.0
NMF,0.03494188050718947,0.07602339181286549,,10.0
Pop,0.15355325390125862,0.20760233918128657,,10.0
Bias,0.01901832508760492,0.030555555555555555,,10.0
NMF,0.08081363127358998,0.14666666666666667,,10.0
Pop,0.061832822125878914,0.1,,10.0
Bias,0.018378704549402068,0.031510416666666666,,10.0
NMF,0.08190329430081784,0.12760416666666666,,10.0
Pop,0.05443415866541351,0.09244791666666667,,10.0
Bias,0.018903576263225107,0.03369272237196765,,10.0
NMF,0.09122640920165506,0.12185534591194969,,10.0
Pop,0.03140531070388204,0.0681266846361186,,10.0
Bias,0.03081624978561164,0.05416666666666666,,10.0
NMF,0.05871057606978841,0.07819154084397986,,10.0
Pop,0.03402018854203606,0.051996225319396044,,10.0
Bias,0.028535711626692415,0.0482695810564663,,10.0
NMF,0.0977302491179335,0.13046296296296298,,10.0
Pop,0.06720824785824518,0.10029447480267152,,10.0
Bias,0.02488333837494452,0.041626447876447877,,10.0
NMF,0.09043810671489597,0.12189361555432983,,10.0
Pop,0.06956232267909834,0.11485682110682112,,10.0
